pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,label,direction,minus_log10_FDR
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7.99635632205591e-13,1.07550992531652e-09,0.921426003494898,0.488716930911083,2.31460434578622,183,1294;2192;9244;6372;290;1307;2199;3673;3956;4313;3486;1809;4312;6696;1462;6591;25878;10631;1004;2817;5054;667;8572;5118;3624;3371;4016;2201;4314;1292;5270;7076;3485;1278;2006;22943;6535;2335;6422;5744;3690;7169;1647;5217;5654;4323;79709;1277;7078;1000;11167;284217;1634;1281;3678;7057;10409;4035;333;3693;6876;2919;2014;7980;7040,Full,Epithelial Mesenchymal Transition,Positive NES,8.96838557738223
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,4.78282274350562e-12,3.21644829500753e-09,0.887074988399873,0.436289905125223,2.15294761552173,254,1308;1294;92291;2192;140766;655;4038;84171;4322;1307;2199;4053;50859;3673;4313;3691;4312;80781;6696;1462;1298;101;4316;5054;83700;3912;667;3689;3684;5118;3371;4327;4326;4016;2201;4314;1292;4052;5650;7837;7076;8425;1278;2006;726;827;4318;4237;2335;3384;4319;1305;3690;3696;2;81578;5654;4323;3911;79709;3687;84290;1277;1288;7093;284217;1634;1281;5154;80274;11095;3678;7057;4811;1514;3683;71;1310;4680;3693;3676,Full,Extracellular Matrix Organization,Positive NES,8.49262342557044
REACTOME_KERATINIZATION,1.23059920235291e-11,4.13788981791167e-09,0.875325132024659,0.669064163580972,2.62230866657149,59,1825;3872;1830;5317;3852;3866;286887;3853;3860;6698;3861;3868;9333;3854;6699;9119;6703;1475;6768;64065;3880;23254;3851;5318;387273;2312;6700;3713;3858;26085;1832;144501;7062,Full,Keratinization,Positive NES,8.38322107773748
REACTOME_CHOLESTEROL_BIOSYNTHESIS,2.28718127656743e-09,3.41806535220355e-07,0.774939030136436,-0.795839356387852,-2.60987737835923,25,6309;1595;1717;3157;3422;2224;1718;6721;6307;3156;6713;4597;50814;7108;39;10682;64801;3930;4598,Full,Cholesterol Biosynthesis,Negative NES,6.46621963797864
HALLMARK_FATTY_ACID_METABOLISM,4.96756389706148e-09,6.19756428477802e-07,0.761460801445585,-0.467729770633483,-2.17179653350477,143,7503;760;33;84263;3295;3157;948;3422;2180;5793;1718;2194;4128;6296;912;50814;2182;11343;57515;3158;8801;54884;39;1376;84693;51703;1429;10449;8802;51109;10965;23417;50;1962;51170;223;34;594;5465;60481;4953;23710;9588;10961;3417;549;1738;5910;8803;5162;3155;1743;5092;2820;1374;328;84532;6389;2271;2052;51166;51478;210;3420,Full,Fatty Acid Metabolism,Negative NES,6.20777895977925
REACTOME_SURFACTANT_METABOLISM,6.8232139060528e-07,4.83011721244264e-05,0.659444398037935,-0.724257437354153,-2.37513147180652,25,6441;221395;253970;653509;10568;9476;6440;6439;729238;21;1512;2627;51201,Full,Surfactant Metabolism,Negative NES,4.31604233009748
REACTOME_COLLAGEN_FORMATION,1.13803818078063e-06,7.65330676574976e-05,0.643551836150722,0.52052345585675,2.15481199193152,77,1308;1294;140766;84171;4322;1307;3691;80781;1298;4316;667;5118;4016;4314;1292;7837;1278;4318;1305;81578;79709;1277;1288;7093;1281,Full,Collagen Formation,Positive NES,4.11615087859499
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,2.15412811162265e-05,0.000905406971916395,0.575610261071129,-0.454887808629843,-1.94143675578395,87,90993;10954;9695;2081;22926;6734;9709;1200;10106;153222;22894;1639;51360;4189;116138;7094;22872;1968;64764;8720;118;7494;2931;2673;3309;55033;27230;4802;10130;9797;1965;4801;6464;6745,Full,Unfolded Protein Response (UPR),Negative NES,3.04315616562477
REACTOME_PHOSPHOLIPID_METABOLISM,0.000175024868068419,0.00433817865163996,0.518848077743792,-0.347638473924402,-1.67292918697053,179,255189;23171;5783;84879;50487;84803;56994;22908;5286;8395;57605;23646;5319;8895;9489;51573;10162;10555;30849;11343;200576;63874;83394;57678;200879;8867;5297;3030;54545;4952;9663;5868;55300;64419;5290;9108;10423;5298;9107;4534;5291;5289;81579;8394;1119;1459;374986;27124;9791;114882;84649,Full,Phospholipid Metabolism,Negative NES,2.36269256716189
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.000616544365666716,0.0103999362545602,0.477270815362862,-0.327665569314203,-1.58727236895387,191,55288;4552;593;36;23530;4967;8050;38;9131;54884;292;1431;3030;64960;56898;1353;211;5018;22;10449;8802;80273;788;50;10128;528;291;34;11331;2108;5250;1727;9927;3417;8992;1738;10939;4697;8803;5162;1743;5264;1374;1528;6389;1352;4698;2271;3313;1355;5447;6832;498;4976;51606;51660;3420;6390;3032;9868;1737;54205;1537;9550;10989;509;1347;4259;529;506;9167;5160;1666;293;4329;64963;4724;3052;8402,Full,Oxidative Phosphorylation,Negative NES,1.9829693226606
