fine_celltype,Disease_Identity,n_donors,median_FASN_CP10K,Q1_FASN_CP10K,Q3_FASN_CP10K,median_FASN_detection_rate,Q1_FASN_detection_rate,Q3_FASN_detection_rate
AT1,Control,7,0.476381028601917,0.346776183006606,0.511100073828317,0.125,0.0833564879133092,0.165170068027211
AT1,IPF,2,0.314654239365746,0.255472563378795,0.373835915352697,0.1575682382134,0.155707196029777,0.159429280397022
AT2,Control,13,0.977405460731363,0.661181614192263,1.10877856952781,0.395348837209302,0.321428571428571,0.512605042016807
AT2,IPF,7,1.74020909281561,0.993972174208872,2.09635246389951,0.451612903225806,0.30377358490566,0.581737346101231
Aberrant basaloid,IPF,7,0.161275293341839,0.0999082811109909,0.194695079781032,0.2,0.108974358974359,0.221914264597191
Alveolar macrophage,Control,26,0.0270381459419496,0.0172482146688791,0.0347974650885119,0.018730883411299,0.0139537712895377,0.0298390100216685
Alveolar macrophage,IPF,31,0.0313621605601491,0.0257461875624752,0.0380843679903554,0.0284218399401646,0.0249033499562316,0.0371919770773639
B/plasma,Control,17,0,0,0.0332717805393356,0,0,0.013986013986014
B/plasma,IPF,26,0,0,0.0238342762570972,0,0,0.00752375199077379
Basal,Control,2,0.157933638419783,0.102713696495529,0.213153580344038,0.0994623655913978,0.0658602150537634,0.133064516129032
Basal,IPF,19,0.0959555308203521,0.0669316571031908,0.129739464252907,0.0714285714285714,0.0466124661246612,0.125641025641026
Ciliated,Control,13,0.17522250681564,0.0820713158699252,0.229659957116223,0.0681818181818182,0.0579710144927536,0.142857142857143
Ciliated,IPF,32,0.0745750385709798,0.0486373535721277,0.093406349267311,0.0543110561056106,0.0396861393323657,0.060238164391519
Club,Control,2,0.436740488567562,0.364022119655713,0.50945885747941,0.241917502787068,0.210702341137124,0.273132664437012
Club,IPF,21,0.189571303454368,0.134223383503051,0.24764428375082,0.125,0.0862068965517242,0.146341463414634
Endothelial,Control,19,0.0313936258382098,0.0199095163292822,0.0580490183447956,0.0142857142857143,0.00635187801188222,0.0303308823529412
Endothelial,IPF,28,0.0459535160182818,0.0220968702171974,0.0680525616865174,0.0249817721324686,0.0127419842710224,0.0418071290411716
Fibroblast,Control,10,0.140165943934863,0.063575859011274,0.192256744452656,0.0625,0.0401296111665005,0.139498432601881
Fibroblast,IPF,21,0.0645527783515803,0,0.112749740675596,0.0434782608695652,0,0.0833333333333333
Goblet,Control,1,0.280339771803426,0.280339771803426,0.280339771803426,0.178571428571429,0.178571428571429,0.178571428571429
Goblet,IPF,18,0.168564919769038,0.136366691217665,0.206340150522713,0.151111111111111,0.123069498069498,0.213345864661654
Mesothelial,Control,1,0.293967781131188,0.293967781131188,0.293967781131188,0.142857142857143,0.142857142857143,0.142857142857143
Mesothelial,IPF,3,0.0758279463896419,0.0583383926306985,0.146111914837179,0.037037037037037,0.037037037037037,0.137566137566138
Monocyte,Control,25,0.0186711441201851,0,0.0381025763692055,0.006635700066357,0,0.0155440414507772
Monocyte,IPF,31,0.0101647089437241,0,0.0199926132088847,0.00315457413249211,0,0.00764071157771945
Myofibroblast,Control,2,0,0,0,0,0,0
Myofibroblast,IPF,17,0.10504669535702,0.06579630341746,0.138487531505913,0.0512820512820513,0.038961038961039,0.1
Non-alveolar macrophage,Control,28,0.0274157333314831,0.0188391992281068,0.0361425831333938,0.0144024293075931,0.0105879577925829,0.0195825230192899
Non-alveolar macrophage,IPF,32,0.0289810965027758,0.0226339454703995,0.0341139946997343,0.0209287764950217,0.0152399178491412,0.0269513348448777
Pericyte,IPF,6,0.0549328183456778,0.0307239199593341,0.0986125049251488,0.0265602322206096,0.0134615384615385,0.059433962264151
Smooth muscle,Control,1,0.127531500280569,0.127531500280569,0.127531500280569,0.0476190476190476,0.0476190476190476,0.0476190476190476
Smooth muscle,IPF,8,0.0827888430009513,0.0355511903768274,0.105518485084951,0.0348484848484849,0.0171683226183518,0.0504201680672269
T/NK,Control,26,0.0320849566810692,0.0173739570347578,0.0494191242507701,0.00824915420655503,0.00363811424512301,0.0148341300883674
T/NK,IPF,31,0.0299591806164101,0.0216869257901573,0.0389740110608615,0.00851063829787234,0.00482469790569741,0.0108853410740203
