fine_celltype,min_cells,n_control,n_ipf,edgeR_log2FC,edgeR_SE_approx,edgeR_CI_low,edgeR_CI_high,edgeR_P,edgeR_gene_FDR,tested_genes,edgeR_BH_across_celltypes,support,donor_label,fdr_label,fdr_x,fdr_hjust
AT2,20,13,7,0.601917867834406,0.396921545861019,-0.216666371020537,1.42050210668935,0.142277966092219,0.697146744343494,6679,0.160062711853747,Not FDR-supported,n=13/7,"",1.54050210668935,0
Ciliated,20,13,32,-1.23424929197014,0.25166518366299,-1.73884522825686,-0.729653355683418,9.03786459065261e-06,0.00121033821500635,11517,8.13407813158735e-05,Cell-type FDR < 0.05,n=13/32,FDR 8.1e-05,-1.85884522825686,1
Fibroblast,20,10,21,-0.892784741644247,0.415584719523211,-1.72989085405653,-0.0556786292319637,0.0371300373589582,0.206032399404603,6046,0.0668340672461247,Not FDR-supported,n=10/21,"",-1.84989085405653,1
Alveolar macrophage,20,26,31,0.489826895920452,0.148060239145458,0.194202710266981,0.785451081573922,0.00152400011327507,0.00641857236206024,15819,0.0068580005097378,Cell-type FDR < 0.05,n=26/31,FDR 6.9e-03,-2.5,0
Non-alveolar macrophage,20,28,32,0.199624498542732,0.131817953627537,-0.0636070512633456,0.462856048348809,0.13474719602619,0.212968610014573,17090,0.160062711853747,Not FDR-supported,n=28/32,"",0.582856048348809,0
Monocyte,20,25,31,-0.787609972800816,0.310441939086819,-1.40295199031918,-0.172267955282449,0.0126054783638131,0.0538904272470785,6712,0.0378164350914392,Cell-type FDR < 0.05,n=25/31,FDR 3.8e-02,-1.52295199031918,1
Endothelial,20,19,28,0.505732626971323,0.315113561000431,-0.121251151321352,1.132716405264,0.11240582547553,0.250721753628518,6493,0.160062711853747,Not FDR-supported,n=19/28,"",1.252716405264,0
T/NK,20,26,31,-0.177585451996759,0.266187002154987,-0.706724362166575,0.351553458173056,0.506459848535613,0.696178253561332,9383,0.506459848535613,Not FDR-supported,n=26/31,"",-0.826724362166575,1
B/plasma,20,17,26,-1.09566783938332,0.513856584960732,-2.11620557027177,-0.0751301084948641,0.0356454717005474,0.132513578488427,5318,0.0668340672461247,Not FDR-supported,n=17/26,"",-2.23620557027177,1
