accession,original_filename,relative_path,bytes,sha256,source_url,verified_at,input_role
GSE245965,GSE245965_AT2_IPF_v_NORMAL_bulkRNAseq_tableofcounts_FINAL-1.csv.gz,GSE245965/GSE245965_AT2_IPF_v_NORMAL_bulkRNAseq_tableofcounts_FINAL-1.csv.gz,268024,500e4ec4d4889234daa593a14030a8e455f9bee66c4c78d7264d99190a26cde9,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245965/suppl/GSE245965_AT2_IPF_v_NORMAL_bulkRNAseq_tableofcounts_FINAL-1.csv.gz,2026-07-10,purified AT2 raw counts
GSE150910,GSE150910_gene-level_count_file.csv.gz,GSE150910/GSE150910_gene-level_count_file.csv.gz,8117424,e673f6725c06d0e71f86d0efe35b1e5301349356327b15f1e219240855bb4534,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150910/suppl/GSE150910_gene-level_count_file.csv.gz,2026-07-10,whole-lung raw counts
GSE110147,GSE110147_RAW.tar,GSE110147/GSE110147_RAW.tar,207667200,babc6527e3675dceb012bd0301d22637e4f462a20f4cf123ea48646845586941,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110147/suppl/GSE110147_RAW.tar,2026-07-10,whole-lung raw CEL archive
GSE24206,GSE24206_RAW.tar,GSE24206/GSE24206_RAW.tar,114984960,f1b4dd986d6ad515ece76094d35e8fc0922abef4a49c14ddb3aedf4457d4fb5f,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24206/suppl/GSE24206_RAW.tar,2026-07-10,whole-lung raw CEL archive
GSE110147,GSE110147_series_matrix.txt.gz,GSE110147/GSE110147_series_matrix.txt.gz,5466733,0b17c5c2584d4a417097cc1deabc036d7e5f1ec652de713335042052d6ef059f,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110147/matrix/GSE110147_series_matrix.txt.gz,2026-07-10,preprocessing sensitivity
GSE24206,GSE24206_series_matrix.txt.gz,GSE24206/GSE24206_series_matrix.txt.gz,7111843,91abb536294aac477a1422e3d2afbfdf1e770aca06a3a18a24d9ab9834afdec8,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24206/matrix/GSE24206_series_matrix.txt.gz,2026-07-10,preprocessing sensitivity
GPL6244,GPL6244.annot.gz,platforms/GPL6244.annot.gz,7193437,99ee70f87e02c75ff1c8dc57b6c40c0482c7ef2760e004301315ac34344ac6dc,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6244/annot/GPL6244.annot.gz,2026-07-10,probe annotation
GPL570,GPL570.annot.gz,platforms/GPL570.annot.gz,8471521,d7cd44352127b1e34f3a720ebea86093ef255a38f1612a85a2962b71bde8f394,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL570/annot/GPL570.annot.gz,2026-07-10,probe annotation
GSE136831,GSE136831_RawCounts_Sparse.mtx.gz,GSE136831/GSE136831_RawCounts_Sparse.mtx.gz,2150633813,266133a964b5c45bf02394acaaff4ea4eb66096ec5a051d92f93dd2747b5850b,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136831/suppl/GSE136831_RawCounts_Sparse.mtx.gz,2026-07-10,complete lung single-cell raw UMI matrix
GSE136831,GSE136831_AllCells.GeneIDs.txt.gz,GSE136831/GSE136831_AllCells.GeneIDs.txt.gz,323848,e43b3008945c87a6875d4fb1a99a791fdaefeeb3c5a72a5d17589f621eb83af8,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136831/suppl/GSE136831_AllCells.GeneIDs.txt.gz,2026-07-10,gene metadata
GSE136831,GSE136831_AllCells.cellBarcodes.txt.gz,GSE136831/GSE136831_AllCells.cellBarcodes.txt.gz,1392307,0efbb89de618a429e2db0399e25f9b2a0f7cd3b6d6ee9a3da71dfc9318cf1ddc,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136831/suppl/GSE136831_AllCells.cellBarcodes.txt.gz,2026-07-10,cell barcodes
GSE136831,GSE136831_AllCells.Samples.CellType.MetadataTable.txt.gz,GSE136831/GSE136831_AllCells.Samples.CellType.MetadataTable.txt.gz,4308752,147bdd11d720ed30736a459ba62a3d8e2f3f9028a8430e0eb714484f0456049b,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136831/suppl/GSE136831_AllCells.Samples.CellType.MetadataTable.txt.gz,2026-07-10,cell donor disease type and library metadata
