row,ensembl,symbol
168,ENSG00000007312,CD79B
287,ENSG00000011465,DCN
373,ENSG00000019169,MARCO
529,ENSG00000038427,VCAN
531,ENSG00000038945,MSR1
767,ENSG00000059573,ALDH18A1
1180,ENSG00000073282,TP63
1294,ENSG00000076258,FMO4
1301,ENSG00000076555,ACACB
1369,ENSG00000078269,SYNJ2
1589,ENSG00000085265,FCN1
1668,ENSG00000087253,LPCAT2
1804,ENSG00000090382,LYZ
2943,ENSG00000105369,CD79A
2947,ENSG00000105374,NKG7
3078,ENSG00000105974,CAV1
3283,ENSG00000107796,ACTA2
3412,ENSG00000108821,COL1A1
3614,ENSG00000110799,VWF
3974,ENSG00000113552,GNPDA1
4207,ENSG00000115486,GGCX
4211,ENSG00000115523,GNLY
4592,ENSG00000118785,SPP1
4710,ENSG00000119888,EPCAM
5011,ENSG00000122852,SFTPA1
5250,ENSG00000124767,GLO1
5611,ENSG00000128052,KDR
5645,ENSG00000128422,KRT17
6285,ENSG00000133110,POSTN
6290,ENSG00000133116,KL
6318,ENSG00000133392,MYH11
7317,ENSG00000139329,LUM
7892,ENSG00000143546,S100A8
8629,ENSG00000149591,TAGLN
9368,ENSG00000156738,MS4A1
9475,ENSG00000157765,SLC34A2
10033,ENSG00000162493,PDPN
10219,ENSG00000163220,S100A9
10646,ENSG00000164692,COL1A2
10800,ENSG00000165434,PGM2L1
11229,ENSG00000167286,CD3D
11250,ENSG00000167434,CA4
11384,ENSG00000167972,ABCA3
11493,ENSG00000168484,SFTPC
11509,ENSG00000168542,COL3A1
11583,ENSG00000168918,INPP5D
11738,ENSG00000169710,FASN
11879,ENSG00000170421,KRT8
12062,ENSG00000171345,KRT19
12088,ENSG00000171476,HOPX
12449,ENSG00000173372,C1QA
12875,ENSG00000176055,MBLAC2
12997,ENSG00000176890,TYMS
13713,ENSG00000182010,RTKN2
14106,ENSG00000184113,CLDN5
14342,ENSG00000185303,SFTPA2
14502,ENSG00000186081,KRT5
15873,ENSG00000198851,CD3E
16246,ENSG00000204305,AGER
16308,ENSG00000204482,LST1
26345,ENSG00000261371,PECAM1
29174,ENSG00000277734,TRAC
